Date,Transaction,Deposit,Withdrawal,Balance in Original Currency
2025-08-30 0:00:00,Balance Brought Forward,,,807122.9
2025-09-30 0:00:00,Balance Carried Forward,,,843457.58
2025-09-30 0:00:00,Interest,143.34,,843457.58
2025-08-31 0:00:00,Interest,176.34,,807299.24
2025-09-17 0:00:00,Transfer,36015,,843314.24
